"70BCSV 	",Prueba subir archivo 
// AQ6370C OPTICAL SPECTRUM ANALYZER //                 ,
25,
CTRWL,1550
SPAN,200
START WL,1450
STOP WL,1650
WLFREQ,0
REFL,-59.9
LSCL,4
RESLN,0.2
AVG,1
SMPLAUTO,1
SMPL,5001
SMPLINTVL,0.04
HIGH2,
MEAS,
LSUNT,0
NMSKH,OFF
RESCOR,0
SMOOTH,0
FIBERTYPE,0
MEASWL,1
SWPSPD,0
RESPARM,9674
FREQPARM,9674
,
,
[TRACE DATA],
1450,-71.786
1450.04,-71.778
1450.08,-71.759
1450.12,-71.735
1450.16,-71.754
1450.2,-71.748
1450.24,-71.76
1450.28,-71.672
1450.32,-71.637
1450.36,-71.606
1450.4,-71.598
1450.44,-71.571
1450.48,-71.628
1450.52,-71.702
1450.56,-71.748
1450.6,-71.797
1450.64,-71.737
1450.68,-71.611
1450.72,-71.494
1450.76,-71.41
1450.8,-71.357
1450.84,-71.347
1450.88,-71.302
1450.92,-71.296
1450.96,-71.298
1451,-71.282
1451.04,-71.317
1451.08,-71.333
1451.12,-71.273
1451.16,-71.27
1451.2,-71.214
1451.24,-71.169
1451.28,-71.115
1451.32,-71.079
1451.36,-71.073
1451.4,-71.012
1451.44,-70.987
1451.48,-71.014
1451.52,-70.948
1451.56,-70.932
1451.6,-70.914
1451.64,-70.914
1451.68,-70.867
1451.72,-70.856
1451.76,-70.847
1451.8,-70.833
1451.84,-70.815
1451.88,-70.784
1451.92,-70.747
1451.96,-70.737
1452,-70.728
1452.04,-70.689
1452.08,-70.692
1452.12,-70.71
1452.16,-70.748
1452.2,-70.745
1452.24,-70.701
1452.28,-70.673
1452.32,-70.586
1452.36,-70.54
1452.4,-70.519
1452.44,-70.501
1452.48,-70.493
1452.52,-70.458
1452.56,-70.446
1452.6,-70.425
1452.64,-70.424
1452.68,-70.407
1452.72,-70.374
1452.76,-70.388
1452.8,-70.348
1452.84,-70.328
1452.88,-70.347
1452.92,-70.353
1452.96,-70.35
1453,-70.312
1453.04,-70.29
1453.08,-70.256
1453.12,-70.21
1453.16,-70.19
1453.2,-70.181
1453.24,-70.165
1453.28,-70.13
1453.32,-70.119
1453.36,-70.103
1453.4,-70.088
1453.44,-70.067
1453.48,-70.046
1453.52,-70.012
1453.56,-70.027
1453.6,-70.008
1453.64,-69.981
1453.68,-69.982
1453.72,-69.959
1453.76,-69.927
1453.8,-69.928
1453.84,-69.901
1453.88,-69.878
1453.92,-69.855
1453.96,-69.858
1454,-69.837
1454.04,-69.839
1454.08,-69.824
1454.12,-69.797
1454.16,-69.79
1454.2,-69.749
1454.24,-69.744
1454.28,-69.731
1454.32,-69.709
1454.36,-69.701
1454.4,-69.697
1454.44,-69.679
1454.48,-69.672
1454.52,-69.635
1454.56,-69.599
1454.6,-69.597
1454.64,-69.583
1454.68,-69.561
1454.72,-69.551
1454.76,-69.534
1454.8,-69.517
1454.84,-69.511
1454.88,-69.489
1454.92,-69.462
1454.96,-69.467
1455,-69.451
1455.04,-69.437
1455.08,-69.422
1455.12,-69.402
1455.16,-69.391
1455.2,-69.434
1455.24,-69.519
1455.28,-69.536
1455.32,-69.528
1455.36,-69.484
1455.4,-69.394
1455.44,-69.308
1455.48,-69.281
1455.52,-69.258
1455.56,-69.248
1455.6,-69.24
1455.64,-69.218
1455.68,-69.216
1455.72,-69.184
1455.76,-69.178
1455.8,-69.177
1455.84,-69.156
1455.88,-69.13
1455.92,-69.149
1455.96,-69.103
1456,-69.079
1456.04,-69.09
1456.08,-69.076
1456.12,-69.063
1456.16,-69.067
1456.2,-69.036
1456.24,-69.019
1456.28,-69.006
1456.32,-68.996
1456.36,-68.975
1456.4,-68.959
1456.44,-68.952
1456.48,-68.954
1456.52,-68.93
1456.56,-68.913
1456.6,-68.879
1456.64,-68.876
1456.68,-68.862
1456.72,-68.857
1456.76,-68.863
1456.8,-68.832
1456.84,-68.836
1456.88,-68.826
1456.92,-68.815
1456.96,-68.792
1457,-68.78
1457.04,-68.756
1457.08,-68.758
1457.12,-68.759
1457.16,-68.746
1457.2,-68.744
1457.24,-68.734
1457.28,-68.727
1457.32,-68.702
1457.36,-68.704
1457.4,-68.685
1457.44,-68.654
1457.48,-68.636
1457.52,-68.63
1457.56,-68.636
1457.6,-68.63
1457.64,-68.644
1457.68,-68.657
1457.72,-68.65
1457.76,-68.612
1457.8,-68.592
1457.84,-68.564
1457.88,-68.543
1457.92,-68.536
1457.96,-68.532
1458,-68.522
1458.04,-68.505
1458.08,-68.488
1458.12,-68.47
1458.16,-68.482
1458.2,-68.474
1458.24,-68.465
1458.28,-68.46
1458.32,-68.442
1458.36,-68.438
1458.4,-68.406
1458.44,-68.415
1458.48,-68.401
1458.52,-68.402
1458.56,-68.378
1458.6,-68.371
1458.64,-68.363
1458.68,-68.362
1458.72,-68.354
1458.76,-68.327
1458.8,-68.338
1458.84,-68.319
1458.88,-68.322
1458.92,-68.318
1458.96,-68.308
1459,-68.306
1459.04,-68.292
1459.08,-68.278
1459.12,-68.292
1459.16,-68.269
1459.2,-68.263
1459.24,-68.262
1459.28,-68.264
1459.32,-68.246
1459.36,-68.235
1459.4,-68.22
1459.44,-68.216
1459.48,-68.217
1459.52,-68.196
1459.56,-68.2
1459.6,-68.191
1459.64,-68.176
1459.68,-68.195
1459.72,-68.168
1459.76,-68.176
1459.8,-68.158
1459.84,-68.16
1459.88,-68.133
1459.92,-68.147
1459.96,-68.136
1460,-68.131
1460.04,-68.124
1460.08,-68.108
1460.12,-68.095
1460.16,-68.108
1460.2,-68.145
1460.24,-68.2
1460.28,-68.225
1460.32,-68.226
1460.36,-68.197
1460.4,-68.149
1460.44,-68.088
1460.48,-68.072
1460.52,-68.053
1460.56,-68.047
1460.6,-68.032
1460.64,-68.029
1460.68,-68.022
1460.72,-68.012
1460.76,-68.022
1460.8,-68.006
1460.84,-67.99
1460.88,-67.992
1460.92,-67.994
1460.96,-67.978
1461,-67.98
1461.04,-67.992
1461.08,-67.971
1461.12,-67.991
1461.16,-67.99
1461.2,-68.012
1461.24,-68.005
1461.28,-68.012
